MAG	Depth	Bacteria	Phylum	Class	Order	Family	Genus	Species
AcS11-47	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__
AcS11-48	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
AcS11-49	Surface	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__	g__	s__
AcS11-5	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Palsa-883	s__
AcS11-50	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__UBA11358	s__
AcS11-51	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS11-52	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__	s__
AcS11-53	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS11-54	Surface	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1161	f__UBA1161	g__PALSA-1353	s__
AcS11-55	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Palsa-187	s__
AcS11-56	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__UBA8260	f__UBA8260	g__Palsa-851	s__
AcS11-57	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__BOG-934	s__
AcS11-58	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS11-59	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__UBA8621	s__
AcS11-6	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__UBA8621	s__
AcS11-60	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Palsa-883	s__
AcS11-61	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS11-62	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS11-63	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS11-64	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__	s__
AcS11-65	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-506	s__
AcS11-66	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Roseiarcus	s__
AcS11-67	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__LD1	g__Bog-950	s__
AcS11-68	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-461	s__
AcS11-69	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__FEN-1191	s__
AcS11-7	Surface	d__Bacteria	p__FCPU426	c__	o__	f__	g__	s__
AcS11-70	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Palsa-1447	s__
AcS11-71	Surface	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__UBA183	g__BOG-1369	s__
AcS11-72	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__
AcS11-73	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__	s__
AcS11-74	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__UBA8621	s__
AcS11-75	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__	s__
AcS11-76	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__Bog-1198	s__
AcS11-77	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__Planctomycetaceae	g__Schlesneria	s__
AcS11-78	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__UBA11358	s__
AcS11-79	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Sulfotelmatobacter	s__
AcS11-8	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
AcS11-80	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS11-81	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__
AcS11-82	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Palsa-1400	g__	s__
AcS11-83	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__Binatales	f__Binataceae	g__	s__
AcS11-84	Surface	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__	s__
AcS11-85	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__	g__	s__
AcS11-86	Surface	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA6257	f__2-01-FULL-56-20	g__	s__
AcS11-87	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__FEN-1191	s__
AcS11-88	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__UBA8260	f__UBA8260	g__Palsa-851	s__
AcS11-89	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Palsa-288	s__
AcS11-9	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
AcS11-90	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS11-91	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__	s__
AcS11-92	Surface	d__Bacteria	p__Omnitrophota	c__Koll11	o__UBA10015	f__GCA-002753745	g__	s__
AcS11-93	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-504	s__
AcS11-94	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Palsa-881	s__
AcS11-95	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__Pedosphaera	s__
AcS11-96	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Palsa-187	s__
AcS11-97	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales_A	f__BOG-932	g__BOG-932	s__
AcS11-98	Surface	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1161	f__UBA1161	g__	s__
AcS11-99	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS12-1	Surface	d__Bacteria	p__Chloroflexota	c__Ktedonobacteria	o__Ktedonobacterales	f__	g__	s__
AcS12-10	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__	s__
AcS12-11	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__VAXT01	s__
AcS12-12	Surface	d__Bacteria	p__Chloroflexota	c__Ellin6529	o__CSP1-4	f__CSP1-4	g__Palsa-1032	s__
AcS12-13	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Anderseniellaceae	g__	s__
AcS12-14	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__AC-32	s__
AcS12-15	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
AcS12-16	Surface	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__UBA4738	f__HRBIN12	g__	s__
AcS12-17	Surface	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__Gp7-AA6	g__Gp7-AA6	s__
AcS12-18	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
AcS12-19	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__20CM-2-55-15	f__20CM-2-55-15	g__	s__
AcS12-2	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__	s__
AcS12-20	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__4Q3S-7	s__
AcS12-21	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__FEN-1191	s__
AcS12-22	Surface	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria_A	o__Fen-336	f__Fen-336	g__AA29	s__
AcS12-23	Surface	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__GWA2-73-35	g__AR37	s__
AcS12-24	Surface	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__UBA10452	s__
AcS12-25	Surface	d__Bacteria	p__Chloroflexota	c__Ellin6529	o__CSP1-4	f__CSP1-4	g__SPCO01	s__
AcS12-26	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Z2-YC6860	s__
AcS12-27	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
AcS12-28	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__SCGC-AG-212-J23	s__
AcS12-29	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Palsa-1005	g__VBCG01	s__
AcS12-3	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Conexibacter	s__
AcS12-30	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__AC-57	s__
AcS12-31	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__RBG-16-66-20	s__
AcS12-32	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__UBA4720	s__
AcS12-33	Surface	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__RBG-16-71-46	s__
AcS12-34	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-555	g__	s__
AcS12-35	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__Methyloceanibacter	s__
AcS12-36	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__Methyloceanibacter	s__
AcS12-37	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__UKL13-2	g__GR16-43	s__
AcS12-38	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Ga0077560	f__Ga0077560	g__Ga0077541	s__
AcS12-39	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Lapillicoccus	s__
AcS12-4	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
AcS12-40	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Terrimicrobiaceae	g__	s__
AcS12-41	Surface	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__	s__
AcS12-42	Surface	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__UBA4738	f__HRBIN12	g__	s__
AcS12-43	Surface	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__UBA5066	g__Fen-183	s__
AcS12-44	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
AcS12-45	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
AcS12-46	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
AcS12-47	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA6522	f__UBA6522	g__FEN-1219	s__
AcS12-48	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Micropruina	s__
AcS12-49	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__Methyloceanibacter	s__
AcS12-5	Surface	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__UBA4738	f__HRBIN12	g__	s__
AcS12-50	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__VAZQ01	s__
AcS12-51	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
AcS12-52	Surface	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
AcS12-53	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__DP-20	s__
AcS12-54	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__
AcS12-55	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhodomicrobiaceae	g__FEN-921	s__
AcS12-56	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__SPDF01	s__
AcS12-57	Surface	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_A	g__Bacillus_BD	s__
AcS12-58	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__	s__
AcS12-59	Surface	d__Bacteria	p__Krumholzibacteriota	c__Krumholzibacteria	o__	f__	g__	s__
AcS12-6	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
AcS12-60	Surface	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__	g__	s__
